id,status,series,laureate_en,laureate_zh,category,prize_year,affiliation,country,date,host_key,title_en,title_zh,hook_zh,hook_en,summary_zh,summary_en,topic_tags,yt_lecture,yt_lecture_ntu,yt_guide,extra_sessions,interviews,nobel_facts,instagram,ntu_epaper,ntu_spotlight
geim,published,TAIWAN BRIDGES,Prof. Sir Andre Geim,安德烈‧蓋姆,physics,2010,University of Manchester,UK,2025-11-10,NTU,Wonder materials,神奇材料,用鉛筆芯與一捲膠帶剝出的單原子薄片。,"A single atom thick, lifted with pencil lead and sticky tape.",石墨烯（graphene）只有一顆原子厚，卻極為強韌，也極為導電。其中的電子行為近似無質量，使相對論（relativity）效應能在實驗桌上被觀察。蓋姆與同事取得第一片的方法簡單得近乎兒戲：鉛筆芯，加上膠帶。,"Graphene is one atom thick, extraordinarily strong and highly conductive. Its electrons behave as though they had no mass, which puts relativity within reach of a laboratory bench. Geim and his colleague obtained the first flake with pencil lead and adhesive tape.",physics-applied | method-discovery,rcE23c82xUc,1KdZldwfnT4,S2ohEFiR4u0,,,https://www.nobelprize.org/prizes/physics/2010/geim/facts/,https://www.instagram.com/reel/DQ6SspNATCL/,https://sec.ntu.edu.tw/epaper/article.asp?num=1666&sn=39600,https://www.ntu.edu.tw/spotlight/2025/2424_20251112.html
thooft,published,TAIWAN BRIDGES,Prof. Gerardus 't Hooft,傑拉德‧特胡夫特,physics,1999,Utrecht University,Netherlands,2025-11-14,TKU,Education and collaboration in fundamental science as bridges between nations,以基礎科學的教育與合作，作為國與國之間的橋樑,一生研究最小的粒子，談的卻是國與國之間的距離。,"A career on the smallest particles, and a talk about the distance between nations.",特胡夫特的工作屬於粒子物理最抽象的一端。在這場演講裡，他談的是科學社群跨越國界運作的方式：共用的語言、共用的方法，以及在政治無法對話的時候，實驗室仍然可以。,"'t Hooft's work belongs to the most abstract end of particle physics. Here he speaks about how the scientific community operates across borders — a shared language, a shared method, and laboratories that keep talking when governments do not.",physics-fundamental | education-career | peace-society,OHIoN7OcMTM,,,,,https://www.nobelprize.org/prizes/physics/1999/thooft/facts/,,,
karman,published,TAIWAN BRIDGES,Mrs. Tawakkol Karman,塔瓦庫‧卡曼,peace,2011,Human rights activist,Yemen,2025-11-17,NTHU,Sustainable development and shared future,永續發展與共享的未來,戰爭之下，綠色的未來無從談起。,"Under war, a green future does not begin.",卡曼是葉門記者與人權運動者。她在這場演講中主張，永續（sustainability）的討論若略過戰爭、貧窮與人權，便失去意義：當生活被摧毀、當利潤先於人的尊嚴，成長本身無從發生。,"Karman is a Yemeni journalist and human-rights campaigner. Her argument here is that any account of sustainability that leaves out war, poverty and human rights is incomplete: where lives are being destroyed and profit comes before dignity, growth does not begin.",peace-society | climate-energy | ethics-responsibility,q3V6sN0zE7c,,,,,https://www.nobelprize.org/prizes/peace/2011/karman/facts/,,,
kornberg,published,TAIWAN BRIDGES,Prof. Roger D. Kornberg,羅傑‧康柏格,chemistry,2006,Stanford University,USA,2025-11-20,AS,The end of disease? – The extraordinary developments in biomedicine and the implications for humanity,疾病的終點？——生物醫學的非凡進展及其對人類的意義,細胞讀取基因的那一刻，被他看清楚了。,"The moment a cell reads its own genes, seen clearly.",康柏格解出了細胞轉錄基因的分子細節，那是生命一切運作的第一步。他從這個基礎談起近年生物醫學的進展速度，以及當醫學真的走得那麼遠時，人類將面對的問題。,"Kornberg worked out the molecular detail of how a cell transcribes its genes — the first step in everything a living thing does. From there he considers the pace of recent progress in biomedicine, and what follows if medicine really does go that far.",life-science | medicine-clinical | ethics-responsibility,zBzFC9ODs1M,,,,storm::sWcdQVzpkQA,https://www.nobelprize.org/prizes/chemistry/2006/kornberg/facts/,,,
queloz,published,TAIWAN BRIDGES,Prof. Didier Queloz,迪迪埃‧奎洛茲,physics,2019,ETH Zürich,Switzerland,2025-11-24,NTNU,The role of science in building a global agenda for peace,科學在建立全球和平議程中的角色,找到第一顆繞著別的太陽運行的行星。,The first planet found orbiting another Sun.,奎洛茲與馬約共同發現第一顆繞類太陽恆星運行的系外行星（exoplanet），此後銀河系不再被視為只有一個行星系。他在這場演講中把視線移回地球，談跨國科學合作能為共同問題帶來什麼。,"Queloz and Mayor found the first exoplanet orbiting a Sun-like star, after which the galaxy could no longer be thought of as holding one planetary system. Here he turns back towards Earth, and what international scientific collaboration offers shared problems.",physics-fundamental | peace-society | method-discovery,awXleH-HVEI,,,,cw::ishzcLcC-Bc,https://www.nobelprize.org/prizes/physics/2019/queloz/facts/,,,
murad,published,TAIWAN BRIDGES,Ms. Nadia Murad,娜迪雅‧穆拉德,peace,2018,Human rights activist,Iraq / USA,2025-12-01,AS,Who can influence the end of conflict-related sexual violence (CRSV) worldwide? – The power of personal stories and the role of activism,誰能終結全球的衝突相關性暴力？——個人故事的力量與行動者的角色,一份證詞，讓長期沉默的罪行被看見。,"One testimony, and a long-silent crime became visible.","穆拉德是戰爭中性暴力（conflict-related sexual violence, CRSV）的倖存者。她選擇公開自己的經歷，使這項長期不被追究的罪行進入國際議程。這場演講談的是個人證詞如何成為制度改變的起點。","Murad survived sexual violence used as a weapon of war and chose to tell her own story, putting a long-unprosecuted crime on the international agenda. This lecture is about how personal testimony becomes institutional change.",peace-society | ethics-responsibility,K86pQuvw144,,,,,https://www.nobelprize.org/prizes/peace/2018/murad/facts/,,,
pissarides,published,TAIWAN BRIDGES,Prof. Sir Christopher A. Pissarides,克里斯多福‧皮薩里德斯,economics,2010,London School of Economics,UK,2025-12-09,NCKU,AI and the future of work and wellbeing,AI 與工作和福祉的未來,AI 取代的是工作的一部分，不是工作本身。,"AI takes parts of jobs, not jobs.",皮薩里德斯研究勞動市場（labour market）如何媒合人與職缺。他認為 AI 影響的是每份工作中的某些環節；判斷、溝通、照顧與臨場決策仍然需要人。真正決定結果的是訓練與轉職的機會是否跟得上。,"Pissarides studies how labour markets match people to work. His view is that AI takes over parts of many jobs while judgement, communication, care and split-second decisions still need people. What settles the outcome is whether training and retraining keep pace.",economics | ai-computation | education-career,mDPup-8ozT4,,,,,https://www.nobelprize.org/prizes/economic-sciences/2010/pissarides/facts/,,,
maskin,published,TAIWAN BRIDGES,Prof. Eric S. Maskin,艾瑞克‧馬斯金,economics,2007,Harvard University,USA,2025-12-15,NTU,Why globalization has failed to reduce inequality,為什麼全球化沒有縮小不平等,經濟成長的同時，差距也一起長大。,"As the economy grew, so did the gap.",今日的全球化以跨國分工（global value chains）為形式：一件產品，多種工序，多種技能層級。高技能的工作接上了世界市場，低技能的沒有。馬斯金主張的解方不在於減少貿易，而在於讓更多人具備參與其中的能力。,"Globalization now takes the form of global value chains: one product, many tasks, many skill levels. High-skill work connects to the world market; low-skill work does not. Maskin's remedy lies not in less trade but in equipping more people to take part in it.",economics | education-career,Vaftz_NrTww,hv8g3oRq7Ms,ET-QoWIUjec,,cw::KALrpOE4kfs | storm::-BB6eP51GeQ,https://www.nobelprize.org/prizes/economic-sciences/2007/maskin/facts/,https://www.instagram.com/reel/DSWODY1iK_K/,https://sec.ntu.edu.tw/epaper/article.asp?num=1671&sn=39645,https://www.ntu.edu.tw/spotlight/2025/2439_20251217.html
sudhof,published,TAIWAN BRIDGES,Prof. Thomas C. Südhof,湯瑪斯‧聚德霍夫,medicine,2013,Stanford University,USA,2026-01-05,AU,Drug development for neurodegenerative diseases: towards cheaper and more sustainable treatment,神經退化性疾病的藥物開發：邁向更便宜、更可持續的治療,神經之間傳遞訊號，只有千分之一秒的餘裕。,Nerve cells pass a signal with a millisecond to spare.,聚德霍夫解開了神經細胞之間精確傳遞訊號（synaptic transmission）的機制。這場演講談的是阿茲海默症（Alzheimer's disease）與帕金森氏症（Parkinson's disease）等神經退化疾病（neurodegenerative diseases）的用藥困境：藥要開發得出來，也要負擔得起、供得上。,Südhof worked out how nerve cells pass signals to one another with millisecond precision. This lecture concerns the harder part of treating neurodegenerative diseases such as Alzheimer's and Parkinson's: a drug must not only exist but be affordable and sustainable to supply.,life-science | medicine-clinical | ethics-responsibility,BaeZY-6cwDk,,,6sh75WDdREs::Day 2 · 2026-01-06,cw::85quwK-splA,https://www.nobelprize.org/prizes/medicine/2013/sudhof/facts/,,,
ciechanover,published,TAIWAN BRIDGES,Prof. Aaron Ciechanover,亞倫‧切哈諾沃,chemistry,2004,Israel Institute of Technology,Israel,2026-01-09,CMU,Personalized medicine revolution: Are we going to cure all diseases and at what price?,個人化醫療革命：我們能治好所有疾病嗎？代價又是什麼？,同樣的診斷，同樣的藥，結果卻不同。,"Same diagnosis, same drug, different outcome.",切哈諾沃發現細胞如何標記並分解不需要的蛋白質（ubiquitin-mediated protein degradation），這套機制失控時可能導致癌症。他在此談醫學離開「一體適用」的過程：2 名病人可以共有一個診斷，卻不共有一套基因。,"Ciechanover discovered how cells tag unwanted proteins for destruction, a system that can end in cancer when it goes wrong. Here he traces medicine's move away from one-size-fits-all: two patients may share a diagnosis without sharing a genome.",chemistry-molecular | medicine-clinical | ethics-responsibility,m14M1uLkFFU,,,,cw::Spc1R-6Qhhs,https://www.nobelprize.org/prizes/chemistry/2004/ciechanover/facts/,,,
